SaleMonth,SaleYear,SalePrice,Sqft,Bed,Bath
5,2006,134450,1236,2,1.0
5,2006,112000,1310,2,2.0
5,2006,160000,2414,3,2.0
5,2006,147000,1207,3,1.5
5,2006,87500,1040,2,2.0
5,2006,141000,1150,3,1.0
5,2006,134500,999,3,1.0
5,2006,135000,1668,3,1.0
5,2006,139900,1428,4,1.0
5,2006,120000,1182,3,1.5
5,2006,87000,1774,4,2.0
5,2006,202500,1827,2,1.0
5,2006,119900,1118,3,1.0
5,2006,129000,960,3,1.0
5,2006,91000,1077,3,1.0
5,2006,157000,1073,2,2.0
5,2006,164500,1320,3,1.0
5,2006,157000,1949,6,2.0
5,2006,145000,960,0,0.0
5,2006,182000,1560,3,2.0
5,2006,180000,1298,3,2.0
5,2006,209700,1809,3,2.5
5,2006,193000,1425,3,2.0
5,2006,128500,971,3,1.5
5,2006,227000,1939,3,2.5
5,2006,155900,848,1,1.0
5,2006,200000,1700,3,2.0
5,2006,196500,1724,3,2.5
5,2006,145000,1072,2,1.0
5,2006,134000,1709,3,2.0
5,2006,130000,1709,3,2.0
5,2006,92000,1338,3,2.0
5,2006,107000,1669,4,1.5
5,2006,81000,1184,5,1.0
5,2006,160000,1479,3,1.0
5,2006,199500,1609,3,1.5
5,2006,145400,1285,3,1.0
5,2006,209000,1491,3,2.0
5,2006,135000,1004,2,1.0
5,2006,148000,1210,3,2.0
5,2006,312500,1800,3,2.0
5,2006,81500,1600,3,1.5
5,2006,164000,1216,2,2.0
5,2006,104500,1304,3,1.5
5,2006,79400,1092,3,1.5
5,2006,140000,1360,3,1.0
5,2006,160000,1126,3,2.0
6,2006,169000,1797,3,1.5
6,2006,185000,1511,3,2.5
6,2006,239900,1801,3,2.5
6,2006,176500,1632,3,2.5
6,2006,239000,1767,2,2.0
6,2006,169000,1102,2,1.0
6,2006,241500,1872,3,2.0
6,2006,294323,2318,3,2.5
6,2006,184500,1875,3,3.0
6,2006,155000,1103,3,2.0
6,2006,88000,858,3,1.0
6,2006,125500,1365,3,1.5
6,2006,83000,987,2,1.5
6,2006,94500,987,2,1.5
6,2006,415000,1868,2,2.0
6,2006,275000,1904,3,2.5
6,2006,185850,1364,2,2.0
6,2006,332200,1686,1,2.0
6,2006,310090,1666,2,2.0
6,2006,258000,2373,4,2.5
6,2006,156820,1142,2,2.0
6,2006,183200,1509,3,2.5
6,2006,348000,2392,3,2.5
6,2006,300000,2234,3,2.5
6,2006,280000,1924,3,2.5
6,2006,350000,2726,4,2.5
6,2006,321000,2494,4,2.5
6,2006,232600,1489,3,2.0
6,2006,151000,1217,2,2.0
6,2006,135000,1236,3,1.0
6,2006,129200,941,3,1.0
6,2006,151000,1200,2,2.5
6,2006,166000,1524,2,2.5
6,2006,165000,1208,3,1.5
6,2006,262500,2156,3,2.0
6,2006,155000,1770,4,1.5
6,2006,190000,1993,4,2.5
6,2006,145000,1712,4,2.0
6,2006,185900,1565,3,2.0
6,2006,79900,747,1,1.0
6,2006,127000,1252,3,1.0
6,2006,161000,1433,3,1.0
6,2006,118000,1128,2,1.0
6,2006,156000,1050,3,1.0
6,2006,140000,1375,2,1.0
6,2006,155000,1575,2,1.5
6,2006,142000,884,2,1.0
6,2006,159000,1384,2,1.0
6,2006,120000,1130,2,1.0
6,2006,159950,1086,3,1.0
6,2006,165000,1146,3,1.0
6,2006,159000,1734,3,1.5
6,2006,157500,1472,2,2.0
6,2006,109500,1040,2,1.0
6,2006,169000,2014,5,2.0
6,2006,156500,1416,3,1.0
6,2006,110000,813,2,1.0
6,2006,108000,1032,2,1.0
6,2006,124000,1750,3,1.0
6,2006,135500,960,3,1.0
6,2006,61500,492,1,1.0
6,2006,64000,840,2,1.0
6,2006,475000,3608,4,2.5
6,2006,89000,616,2,1.0
6,2006,117000,1635,2,1.0
6,2006,119500,1376,3,2.0
6,2006,84500,754,2,1.0
6,2006,137500,1422,3,1.0
6,2006,131000,1640,3,1.0
6,2006,125000,1032,2,1.0
6,2006,153600,1064,3,1.0
6,2006,142500,1059,3,1.0
6,2006,278000,1830,2,1.0
6,2006,130000,810,2,1.0
6,2006,142500,894,3,1.0
6,2006,146000,1350,3,1.5
6,2006,181000,1596,3,2.5
6,2006,190000,1582,4,2.0
6,2006,145000,1100,3,1.5
6,2006,196000,1749,3,2.5
6,2006,200000,1861,3,2.5
6,2006,128500,864,3,1.0
6,2006,137000,1320,3,2.5
6,2006,220000,1358,1,1.5
6,2006,274300,2097,3,2.5
6,2006,140000,1072,2,2.0
6,2006,140000,1595,2,1.0
6,2006,149000,1510,3,1.0
6,2006,102000,1522,4,2.0
6,2006,230000,1517,3,1.0
6,2006,250000,2057,3,1.5
6,2006,157000,1336,2,1.0
6,2006,72000,672,2,1.0
6,2006,151400,2521,5,2.5
6,2006,79500,1092,3,1.5
6,2006,90500,1092,3,1.5
6,2006,131000,902,2,1.0
7,2006,187500,1498,3,2.5
7,2006,183500,1169,3,2.0
7,2006,356383,2473,4,2.5
7,2006,556581,2868,4,3.5
7,2006,361919,2576,4,2.5
7,2006,535000,2698,4,2.5
7,2006,190000,1574,3,2.5
7,2006,188900,1857,4,2.5
7,2006,250000,2784,5,3.5
7,2006,172000,1083,2,1.0
7,2006,153500,1074,3,1.5
7,2006,116050,864,3,1.0
7,2006,116000,1030,3,1.5
7,2006,89000,948,2,1.5
7,2006,146300,1069,2,2.0
7,2006,144000,1456,3,2.5
7,2006,252000,1618,2,2.0
7,2006,345000,2324,4,3.0
7,2006,344133,2253,3,2.5
7,2006,174190,1326,3,2.0
7,2006,192140,1838,4,2.5
7,2006,201490,1598,3,2.5
7,2006,180000,1509,3,2.5
7,2006,199900,1886,4,2.5
7,2006,625000,3627,4,3.5
7,2006,258000,2263,4,2.5
7,2006,187000,1837,3,2.5
7,2006,175900,1603,3,2.5
7,2006,172000,1398,2,2.0
7,2006,150000,1320,3,2.5
7,2006,119900,965,3,1.0
7,2006,129500,988,3,1.0
7,2006,151000,1212,3,1.0
7,2006,126000,984,3,1.0
7,2006,268000,2295,4,2.5
7,2006,262000,1624,2,2.0
7,2006,147400,1223,2,2.5
7,2006,149900,1223,2,2.5
7,2006,139000,1080,2,2.5
7,2006,190000,1226,1,1.0
7,2006,170000,1226,1,1.0
7,2006,146500,1193,2,2.0
7,2006,140000,1164,3,1.5
7,2006,142000,1051,3,1.0
7,2006,158000,1141,3,1.0
7,2006,129900,864,3,1.0
7,2006,157500,1440,4,1.5
7,2006,150000,1053,3,1.5
7,2006,129800,816,2,1.0
7,2006,137000,1008,2,1.0
7,2006,146500,1624,2,1.0
7,2006,137000,1728,3,1.5
7,2006,133500,1005,2,1.0
7,2006,180000,2640,5,2.5
7,2006,159500,1194,3,1.0
7,2006,129900,816,2,1.0
7,2006,109900,1040,2,1.0
7,2006,133700,1040,3,1.0
7,2006,93500,1040,2,2.0
7,2006,146000,1150,3,1.0
7,2006,155000,1348,3,1.5
7,2006,111500,1657,4,1.0
7,2006,105000,1004,2,1.0
7,2006,111500,844,2,1.0
7,2006,126175,1163,3,1.0
7,2006,155000,2104,5,2.0
7,2006,144000,1690,3,1.0
7,2006,125000,960,3,1.0
7,2006,88000,1015,3,1.0
7,2006,80500,912,2,1.0
7,2006,110500,1103,2,1.0
7,2006,109000,816,2,1.0
7,2006,116500,1330,3,1.0
7,2006,125500,1360,2,1.5
7,2006,150000,1921,4,2.0
7,2006,130000,1352,3,1.0
7,2006,132000,934,2,1.0
7,2006,158000,1159,3,1.5
7,2006,165000,1458,3,1.5
7,2006,180000,1721,3,2.5
7,2006,160500,1040,3,1.0
7,2006,172500,1920,4,2.0
7,2006,170000,1779,3,1.5
7,2006,225000,2287,3,2.0
7,2006,149900,1609,5,1.5
7,2006,229800,1876,3,2.5
7,2006,194000,1220,2,2.0
7,2006,193879,1294,2,2.0
7,2006,221500,1614,3,2.0
7,2006,233555,1846,3,2.0
7,2006,158900,1388,3,2.0
7,2006,148000,914,2,1.0
7,2006,156000,990,3,1.0
7,2006,217000,1494,3,2.0
7,2006,132500,954,3,1.0
7,2006,149900,894,3,1.0
7,2006,222000,1762,3,2.5
7,2006,268500,2214,3,2.5
7,2006,237000,1995,4,2.5
7,2006,233230,1919,3,2.5
7,2006,212900,1552,3,2.0
7,2006,163990,1456,3,2.5
7,2006,164990,1310,3,2.0
7,2006,116000,1250,3,1.5
7,2006,160000,1928,5,2.0
7,2006,137000,1551,3,2.0
7,2006,128000,1340,3,1.0
7,2006,138887,1784,4,1.5
7,2006,200100,1802,4,1.5
7,2006,131000,1465,3,2.0
7,2006,137500,1180,2,1.0
7,2006,239000,2345,4,2.5
7,2006,230000,1811,2,1.0
7,2006,257000,2315,4,2.0
7,2006,171000,1959,5,3.0
7,2006,176000,1137,2,2.0
7,2006,180000,1339,2,2.0
7,2006,84500,1140,3,1.0
7,2006,127000,1475,4,2.0
7,2006,150900,1728,4,2.0
7,2006,188000,1728,4,2.0
7,2006,132000,970,3,1.0
8,2006,157500,1024,2,1.0
8,2006,240000,1670,3,2.0
8,2006,130000,1204,2,2.0
8,2006,318000,1714,2,2.0
8,2006,319000,1826,3,2.0
8,2006,412083,2589,4,2.5
8,2006,300000,2206,4,2.5
8,2006,329900,2358,4,2.5
8,2006,378000,1780,2,2.0
8,2006,374000,1792,2,2.0
8,2006,287602,2322,4,3.5
8,2006,266000,1939,3,2.5
8,2006,197000,1576,3,2.5
8,2006,187750,1301,2,2.0
8,2006,119500,1654,4,2.0
8,2006,250000,2654,4,2.5
8,2006,157500,976,2,1.0
8,2006,140000,898,3,1.0
8,2006,121600,1230,3,1.5
8,2006,85500,869,2,1.0
8,2006,133000,1578,3,1.0
8,2006,117000,833,2,1.0
8,2006,68000,715,2,1.0
8,2006,183000,1773,3,2.0
8,2006,178000,1641,3,1.5
8,2006,105000,864,2,1.0
8,2006,139000,1566,5,1.5
8,2006,149000,1576,3,1.0
8,2006,113000,1048,2,1.0
8,2006,156500,1967,6,2.0
8,2006,225000,2008,3,3.0
8,2006,274970,2201,4,2.0
8,2006,91500,1456,4,1.0
8,2006,239799,1962,3,2.5
8,2006,294900,1590,2,2.5
8,2006,187000,1499,3,2.5
8,2006,214000,1588,3,2.0
8,2006,214000,1755,3,2.5
8,2006,275000,1787,3,2.0
8,2006,210900,2049,4,2.5
8,2006,203160,1737,3,2.5
8,2006,196500,1720,3,2.5
8,2006,173900,1500,3,2.5
8,2006,102000,976,2,1.0
8,2006,92000,630,1,1.0
9,2006,274725,2021,3,2.5
9,2006,545224,3390,5,3.5
9,2006,470000,2000,3,2.5
9,2006,190000,1419,2,2.0
9,2006,145000,1387,3,1.0
9,2006,315000,1980,3,2.0
9,2006,342643,2596,4,3.5
9,2006,465000,2076,2,2.5
9,2006,293000,1740,4,2.0
9,2006,309000,2452,4,3.5
9,2006,202500,1368,2,2.0
9,2006,169985,1492,3,2.5
9,2006,179665,1496,3,2.5
9,2006,225000,1548,2,2.0
9,2006,336820,1670,2,2.5
9,2006,199000,1504,3,2.0
9,2006,221000,1568,3,2.0
9,2006,188000,1036,1,1.0
9,2006,170000,1920,4,3.0
9,2006,127000,1145,3,1.0
9,2006,277500,2448,3,3.0
9,2006,147500,1521,3,1.5
9,2006,119000,1556,4,2.0
9,2006,107000,1328,3,1.0
9,2006,114500,1176,3,1.0
9,2006,72000,819,2,1.0
9,2006,123500,1148,2,1.0
9,2006,215000,1911,3,2.5
9,2006,235000,1525,3,2.0
9,2006,217000,1779,3,2.5
9,2006,197000,1909,4,2.5
9,2006,195000,1948,4,2.5
9,2006,198000,1336,3,2.0
9,2006,83000,1414,3,1.0
9,2006,121000,1273,3,1.0
9,2006,167000,1636,4,1.5
9,2006,195000,1550,3,1.5
9,2006,108000,1336,3,1.5
9,2006,242500,1625,3,2.0
9,2006,359900,1838,3,2.0
9,2006,131000,1224,4,1.0
10,2006,252000,1390,1,1.5
10,2006,438780,2945,3,3.5
10,2006,108000,1092,3,1.5
10,2006,281000,1970,3,2.5
10,2006,169990,1316,3,2.0
10,2006,185101,1492,3,2.5
10,2006,234000,1557,2,2.0
10,2006,264561,1567,1,2.0
10,2006,246578,1500,2,2.0
10,2006,178000,1414,3,2.5
10,2006,315000,2799,3,2.5
10,2006,198600,1278,2,2.0
10,2006,186800,1400,3,2.0
10,2006,248500,1731,3,2.5
10,2006,133500,925,2,1.0
10,2006,334000,2826,3,2.5
10,2006,135500,980,3,2.0
10,2006,146000,1200,1,1.5
10,2006,137900,2136,4,2.0
10,2006,119000,1584,4,2.0
10,2006,135000,1008,2,1.0
10,2006,127000,1312,3,1.5
10,2006,99800,713,2,1.0
10,2006,120000,864,2,1.0
10,2006,116000,1118,2,1.0
10,2006,163000,1768,2,1.5
10,2006,114504,1368,3,1.0
10,2006,157000,1762,4,1.5
10,2006,64500,1020,2,1.0
10,2006,140200,1577,3,1.0
10,2006,159000,1664,3,2.0
10,2006,220000,2486,5,2.0
10,2006,107000,1430,3,2.0
10,2006,148000,1382,3,1.5
10,2006,90000,1296,2,2.0
10,2006,136900,1855,4,2.0
10,2006,180000,988,1,1.0
10,2006,216837,1836,3,2.0
10,2006,98000,1436,3,2.0
10,2006,127500,1012,4,2.0
10,2006,127500,980,4,2.0
10,2006,142500,1072,2,1.0
10,2006,125000,1482,3,2.0
10,2006,51689,729,2,1.0
10,2006,35311,480,1,0.0
10,2006,115000,1396,4,2.0
10,2006,145000,1664,4,2.0
10,2006,202000,1403,2,2.0
10,2006,126500,874,3,1.0
11,2006,222000,2236,4,2.5
11,2006,325300,2376,4,3.5
11,2006,298236,2389,4,2.5
11,2006,360000,1944,3,2.0
11,2006,219210,1863,4,2.5
11,2006,210250,1364,2,2.0
11,2006,230500,1936,3,2.5
11,2006,405749,2640,3,3.5
11,2006,107000,1056,2,1.0
11,2006,125000,1728,6,2.0
11,2006,116000,909,3,1.0
11,2006,137000,935,3,1.0
11,2006,310000,2520,5,2.5
11,2006,200000,1694,3,2.5
11,2006,385000,1842,0,0.5
11,2006,165150,1790,4,2.0
11,2006,138500,1052,3,1.5
11,2006,172000,1246,3,1.0
11,2006,125000,1056,3,1.5
11,2006,115000,912,2,1.0
11,2006,75000,1162,3,1.0
11,2006,168000,1437,3,1.5
11,2006,209000,2559,4,2.5
11,2006,255000,1989,3,2.5
11,2006,149900,1466,3,1.5
11,2006,112000,1288,4,1.0
11,2006,210000,1801,3,1.5
11,2006,230000,1295,2,2.0
11,2006,320000,1960,3,2.0
11,2006,215000,1368,2,2.0
11,2006,188000,2000,3,2.5
12,2006,270000,2687,4,2.5
12,2006,275000,1742,2,2.0
12,2006,105500,1092,3,1.5
12,2006,123000,900,3,1.0
12,2006,290000,2526,4,2.5
12,2006,98600,1235,2,1.0
12,2006,162000,1336,3,1.5
12,2006,135960,943,2,1.0
12,2006,167000,2039,3,1.5
12,2006,108480,1073,2,1.0
12,2006,160000,1324,3,2.0
12,2006,207500,1600,2,1.0
12,2006,135000,1192,4,1.5
12,2006,81400,1040,2,2.0
12,2006,93500,1248,2,2.0
12,2006,190000,1453,2,1.5
12,2006,235000,2009,4,2.0
12,2006,415000,3672,5,3.5
12,2006,280000,1533,2,2.0
12,2006,157500,1388,3,1.5
12,2006,119900,1176,2,1.0
12,2006,223000,1844,3,2.0
12,2006,300000,1646,2,2.0
12,2006,87550,1092,3,1.5
1,2007,441929,2234,1,1.5
1,2007,178000,1868,3,3.5
1,2007,350000,2385,3,2.5
1,2007,232698,1721,3,2.0
1,2007,322500,2582,4,2.5
1,2007,755000,4316,4,3.5
1,2007,215000,1534,3,2.0
1,2007,171000,1701,3,2.0
1,2007,147000,1055,2,1.0
1,2007,162500,1082,3,1.0
1,2007,124000,1074,2,1.0
1,2007,117600,894,3,1.0
1,2007,39300,334,1,1.0
1,2007,86000,691,2,1.0
1,2007,143000,1846,3,2.0
1,2007,122000,1889,4,1.5
1,2007,115000,897,3,1.0
1,2007,127000,955,3,1.0
1,2007,228500,1982,3,2.5
1,2007,203000,1274,3,2.0
1,2007,134900,1040,3,1.5
1,2007,130000,907,3,1.0
1,2007,122000,969,3,1.5
1,2007,270000,1673,3,2.0
1,2007,275000,2439,4,2.5
1,2007,246900,1341,1,1.5
1,2007,150000,2592,6,2.0
1,2007,183500,1299,2,2.0
1,2007,180500,1312,2,2.0
1,2007,132250,1040,3,1.0
1,2007,75000,1092,3,1.5
2,2007,244000,2223,3,2.0
2,2007,175000,1484,3,2.0
2,2007,174000,1324,3,2.0
2,2007,113500,1092,3,1.5
2,2007,128000,958,2,2.0
2,2007,250000,1828,3,2.5
2,2007,194201,1402,2,1.0
2,2007,147000,1795,2,2.0
2,2007,300000,2503,3,2.5
2,2007,166000,1151,2,2.0
2,2007,193800,1565,2,2.0
2,2007,127000,1052,3,1.0
2,2007,137500,964,3,1.0
2,2007,130000,1360,3,1.0
2,2007,153000,1647,3,1.0
2,2007,120000,888,3,1.0
2,2007,89500,1022,2,1.0
2,2007,185000,2454,3,2.0
2,2007,128000,1232,3,1.5
2,2007,165000,1376,3,1.0
2,2007,99500,1315,3,2.0
2,2007,123000,1040,3,1.0
2,2007,182000,1522,3,2.0
2,2007,190550,1690,3,2.5
2,2007,141000,2233,5,2.5
2,2007,111000,948,3,1.0
2,2007,198000,1696,3,2.0
2,2007,281213,2482,4,2.5
3,2007,167300,1587,3,2.0
3,2007,161500,1384,3,2.5
3,2007,160000,1694,3,2.5
3,2007,154204,1128,3,1.0
3,2007,319900,1612,2,2.0
3,2007,176000,1479,3,2.5
3,2007,192000,1930,4,2.5
3,2007,143250,981,3,1.5
3,2007,338931,2550,4,2.5
3,2007,380000,2643,3,2.5
3,2007,200000,1405,2,2.0
3,2007,171925,1495,3,2.5
3,2007,156932,1412,3,2.5
3,2007,466500,2633,2,2.5
3,2007,320000,1905,3,2.0
3,2007,221300,1830,3,2.5
3,2007,120750,894,2,1.0
3,2007,132500,999,3,1.0
3,2007,143900,1696,3,1.5
3,2007,148800,1102,2,2.5
3,2007,255000,2362,3,2.5
3,2007,373000,2497,2,2.0
3,2007,127000,1107,3,1.0
3,2007,101800,1224,2,2.0
3,2007,163500,1657,3,2.0
3,2007,116900,925,3,1.0
3,2007,140000,1170,3,1.0
3,2007,89471,1131,2,1.0
3,2007,145000,1642,4,1.5
3,2007,87000,1248,2,1.0
3,2007,128250,1435,3,1.0
3,2007,135000,1274,3,2.0
3,2007,131000,1218,3,1.0
3,2007,126000,1409,3,1.5
3,2007,127000,1355,3,1.5
3,2007,101000,1111,3,1.0
3,2007,200500,3086,3,3.0
3,2007,130000,999,3,1.0
3,2007,130000,1630,3,2.0
3,2007,96000,1362,4,2.0
3,2007,176432,1314,3,2.0
3,2007,235500,1873,3,2.5
3,2007,217000,1753,3,2.5
3,2007,112500,882,3,1.0
3,2007,200000,3395,8,2.0
3,2007,90350,694,2,1.0
3,2007,220000,1991,3,1.5
3,2007,200000,1020,1,1.0
3,2007,200624,2515,4,3.0
3,2007,150909,1828,3,2.0
3,2007,68104,845,1,1.0
3,2007,148000,918,3,1.0
3,2007,168000,1622,3,1.0
4,2007,167000,1277,2,1.0
4,2007,180000,1714,3,2.5
4,2007,182900,1440,3,2.0
4,2007,174000,1284,3,2.0
4,2007,152000,1620,4,2.5
4,2007,106000,1302,3,2.5
4,2007,142500,1055,2,2.0
4,2007,188500,1119,2,2.0
4,2007,206580,1525,3,2.5
4,2007,249000,1506,3,2.0
4,2007,253000,1685,2,2.0
4,2007,132000,1057,3,1.0
4,2007,285000,2872,4,2.5
4,2007,208900,1352,2,2.0
4,2007,164000,1295,3,1.5
4,2007,103000,1224,2,2.0
4,2007,151500,958,2,1.0
4,2007,64500,666,2,1.0
4,2007,105000,1376,3,1.0
4,2007,157900,1442,4,1.5
4,2007,174850,1721,4,1.0
4,2007,116000,922,2,1.0
4,2007,125000,948,2,1.0
4,2007,138000,1544,3,2.0
4,2007,103200,882,1,1.0
4,2007,135000,1134,2,1.0
4,2007,103000,960,2,1.0
4,2007,202500,2294,5,3.0
4,2007,212300,1952,4,1.5
4,2007,219000,2267,3,1.5
4,2007,126000,1134,3,1.5
4,2007,118500,1029,3,1.0
4,2007,143500,1285,3,1.5
4,2007,125000,1342,4,1.0
4,2007,228500,1822,4,2.0
4,2007,424870,2828,4,3.0
4,2007,277000,2062,3,2.5
4,2007,126000,990,3,1.0
4,2007,213500,1797,3,2.5
4,2007,140000,1214,2,1.0
4,2007,133500,1044,3,1.0
4,2007,155000,1125,2,1.5
4,2007,136500,1422,3,1.0
4,2007,141500,1436,3,1.0
4,2007,143000,1026,2,1.0
4,2007,231713,1689,3,2.0
4,2007,187500,1717,3,2.5
4,2007,282000,1922,2,2.0
4,2007,75190,1092,3,1.5
4,2007,129500,768,2,1.0
5,2007,168000,1572,3,2.5
5,2007,160000,1472,3,2.5
5,2007,120500,864,3,1.0
5,2007,113000,1218,3,1.5
5,2007,415298,2121,3,2.5
5,2007,250000,1634,3,2.0
5,2007,418000,2758,4,2.5
5,2007,285000,2374,4,2.5
5,2007,245700,1614,3,2.0
5,2007,200000,1302,1,1.5
5,2007,209500,1554,2,2.0
5,2007,280000,1577,2,2.0
5,2007,181755,1496,3,3.0
5,2007,168165,1458,3,2.0
5,2007,183500,1720,3,2.5
5,2007,185000,1644,3,2.5
5,2007,252000,2385,4,2.5
5,2007,430000,3228,4,3.0
5,2007,330000,2538,4,2.5
5,2007,261329,1584,2,2.0
5,2007,149000,1094,3,1.0
5,2007,191750,1820,3,2.5
5,2007,129000,1120,3,1.5
5,2007,279700,1494,1,1.5
5,2007,181500,1262,3,2.0
5,2007,226000,1929,3,2.5
5,2007,185000,1610,3,2.0
5,2007,161000,1042,3,2.0
5,2007,126000,1560,4,2.0
5,2007,158500,1254,3,1.0
5,2007,150000,1244,3,1.5
5,2007,134500,1008,2,1.0
5,2007,135000,893,2,1.0
5,2007,119000,988,3,1.0
5,2007,152000,1242,3,1.5
5,2007,132000,1432,2,2.0
5,2007,130000,1072,2,1.0
5,2007,85000,1141,3,1.0
5,2007,137000,1798,4,2.5
